Title,Supplier,Price,Series,Can,Stage,Parellel Import,Unit Price,Merchant
wyeth 惠氏 - illuma organic stage 1 初生嬰兒配方奶粉 850g (6罐),Sogo,3534.0,Organic,6,1,False,589.0,Chain
wyeth 惠氏 - illuma atwo stage 4 學兒成長配方奶粉 850g (6罐),Sogo,2308.5,Atwo,6,4,False,384.75,Chain
wyeth 惠氏 - illuma atwo stage 3 幼兒成長配方奶粉 850g (6罐),Sogo,2650.5,Atwo,6,3,False,441.75,Chain
wyeth 惠氏 - illuma atwo stage 2 較大嬰兒配方奶粉 850g (6罐),Sogo,2952.6,Atwo,6,2,False,492.09999999999997,Chain
wyeth 惠氏 - illuma atwo stage 1 初生嬰兒配方奶粉 850g (6罐),Sogo,3228.0,Atwo,6,1,False,538.0,Chain
wyeth 惠氏 - illuma luxa stage 1 初生嬰兒配方奶粉 850g (6罐),Sogo,3228.0,Luxa,6,1,False,538.0,Chain
wyeth 惠氏 - illuma luxa stage 4 學兒成長配方奶粉 850g (6罐),Sogo,2308.5,Luxa,6,4,False,384.75,Chain
wyeth 惠氏 - illuma luxa stage 3 幼兒成長配方奶粉 850g (6罐),Sogo,2650.5,Luxa,6,3,False,441.75,Chain
wyeth 惠氏 - illuma luxa stage 2 較大嬰兒配方奶粉 850g (6罐),Sogo,2952.6,Luxa,6,2,False,492.09999999999997,Chain
wyeth 惠氏 - illuma organic stage 3 幼兒成長配方奶粉 850g (6罐),Sogo,2844.3,Organic,6,3,False,474.05,Chain
wyeth 惠氏 - illuma organic stage 2 較大嬰兒配方奶粉 850g (6罐),Sogo,3186.3,Organic,6,2,False,531.0500000000001,Chain
